City,State,Population,Percent employed,Occupation (MBSA),Occupation (S),Occupation (SO),Occupation (RCM),Occupation (PT),Median household income,Homeownership rate,Median home price,Median rent,KMeans,Hierarchical
"Meridian, Colorado",Colorado,5058,76.8,47.8,16.9,26.4,1.3,7.6,90496,14.2,571600,1925,7,1
"Meridian Village, Colorado",Colorado,2768,83.5,73.0,3.7,17.5,0.0,5.8,198707,95.8,742800,3125,6,7
"Merino, Colorado",Colorado,286,69.2,35.0,31.6,10.7,11.9,10.7,63125,64.6,161300,1159,3,4
"Minturn, Colorado",Colorado,987,84.0,50.4,11.7,26.2,2.8,8.8,113519,66.2,1083000,2167,0,1
"Monte Vista, Colorado",Colorado,4178,61.1,49.4,15.5,14.1,8.9,12.1,49339,61.6,204500,657,5,2
"Montezuma, Colorado",Colorado,83,96.9,31.3,27.1,0.0,41.7,0.0,127083,57.1,861100,1667,7,1
"Montrose, Colorado",Colorado,20703,55.0,34.4,16.8,23.0,11.0,14.8,63177,69.8,359000,1117,8,0
"Monument, Colorado",Colorado,11035,70.3,51.6,19.6,16.1,6.0,6.8,114654,78.5,586400,1947,0,1
"Morrison, Colorado",Colorado,415,44.8,68.8,10.4,14.3,0.6,5.8,116667,71.3,739900,1724,0,2
"Mountain View, Colorado",Colorado,500,73.2,52.9,12.7,10.4,7.8,16.2,108269,66.7,554200,1476,7,0
"Mountain Village, Colorado",Colorado,1713,80.8,30.7,27.1,22.0,8.0,12.3,59881,33.4,2000001,885,7,1
"Mount Crested Butte, Colorado",Colorado,829,79.4,36.4,37.5,19.5,6.6,0.0,93182,71.1,594600,1717,7,1
"Naturita, Colorado",Colorado,520,45.9,9.5,18.9,36.3,20.9,14.4,28021,79.8,169000,836,4,4
"Nederland, Colorado",Colorado,1523,74.9,67.1,6.1,13.5,6.8,6.6,103452,69.3,631100,1469,0,1
"New Castle, Colorado",Colorado,4878,58.7,49.8,12.3,21.2,6.9,9.8,88421,70.8,488600,1627,0,0
