City,State,Population,Percent employed,Occupation (MBSA),Occupation (S),Occupation (SO),Occupation (RCM),Occupation (PT),Median household income,Homeownership rate,Median home price,Median rent,KMeans,Hierarchical
"Highland Park, Texas",Texas,8774,55.0,73.1,4.1,18.2,3.1,1.6,250001,87.6,1887300,2216,6,7
"Highlands, Texas",Texas,7339,54.5,31.0,15.0,22.6,13.9,17.5,54524,75.6,191400,1364,4,0
"Highland Village, Texas",Texas,16004,66.1,56.6,10.4,21.2,5.3,6.4,164459,92.5,493400,2434,0,3
"Hillsboro, Texas",Texas,8375,55.0,24.0,21.1,17.4,15.0,22.5,55761,53.8,118400,948,8,4
"Hilshire Village, Texas",Texas,1091,66.1,76.4,4.1,16.9,1.3,1.3,250001,95.5,1035300,3501,6,7
"Hitchcock, Texas",Texas,7480,64.8,24.9,27.9,23.3,8.8,15.1,77713,74.2,159500,1370,8,4
"Holiday Lakes, Texas",Texas,853,60.0,16.6,16.9,23.7,31.8,11.0,45962,82.6,93600,995,1,4
"Holland, Texas",Texas,1315,58.3,51.8,14.1,13.7,7.8,12.5,66827,69.9,180200,1085,5,2
"Holliday, Texas",Texas,1670,67.5,27.6,25.3,13.9,16.5,16.8,64181,78.9,144800,781,1,4
"Holly Lake Ranch, Texas",Texas,2821,31.6,67.7,2.3,12.4,8.8,8.8,77245,93.5,239400,1313,5,2
"Hollywood Park, Texas",Texas,3119,64.8,59.3,15.7,16.4,6.0,2.6,140357,93.2,428000,2258,0,3
"Homestead Meadows North, Texas",Texas,5987,50.2,15.7,19.6,17.6,28.5,18.6,55559,81.9,170300,824,1,4
"Homestead Meadows South, Texas",Texas,7687,67.7,22.1,26.8,19.2,19.6,12.3,60571,78.0,135100,762,1,4
"Hondo, Texas",Texas,8508,42.6,31.8,21.4,24.6,8.9,13.2,58773,62.7,215800,1163,8,4
"Honey Grove, Texas",Texas,1886,55.5,28.6,21.5,16.5,9.8,23.5,47225,62.0,112100,539,8,4
"Hooks, Texas",Texas,2304,55.2,35.3,23.1,13.5,11.9,16.1,43929,60.7,103200,1007,8,4
"Horizon City, Texas",Texas,23069,68.2,32.0,18.0,23.6,12.2,14.2,65702,84.7,154200,1239,2,0
"Hornsby Bend, Texas",Texas,12021,71.4,41.9,10.1,25.2,11.9,10.8,88317,77.7,279000,2187,0,0
"Horseshoe Bay, Texas",Texas,4534,42.5,49.2,8.3,31.0,5.6,5.9,105024,83.8,489100,1575,0,2
"Houston, Texas",Texas,2300419,67.1,39.2,17.8,18.8,11.5,12.6,62894,42.0,253400,1313,7,8
"Howe, Texas",Texas,3638,77.1,25.0,28.4,15.2,14.5,16.9,57417,60.4,190000,1167,8,4
"Hubbard, Texas",Texas,1492,49.6,28.5,14.9,23.2,13.6,19.8,47284,66.4,115600,877,8,4
"Hudson, Texas",Texas,5017,72.9,25.1,32.9,19.6,8.7,13.7,51733,38.1,169000,1131,8,4
"Hudson Bend, Texas",Texas,3902,64.1,49.4,21.5,15.6,4.9,8.7,93086,67.3,676000,1651,7,1
"Hudson Oaks, Texas",Texas,2484,70.0,68.5,4.8,8.6,5.6,12.5,138500,84.0,424600,1330,0,3
"Hughes Springs, Texas",Texas,1676,60.0,24.1,26.8,23.3,4.6,21.2,50924,57.8,138600,833,8,4
"Humble, Texas",Texas,16489,64.1,18.3,23.6,18.6,16.4,23.1,52927,36.6,191200,1216,8,4
"Huntington, Texas",Texas,4022,64.6,17.8,17.1,31.0,17.4,16.7,62569,41.7,102000,956,8,4
"Huntsville, Texas",Texas,46917,49.9,28.6,28.3,21.0,8.1,14.0,45401,40.3,225800,981,8,4
"Hurst, Texas",Texas,39912,67.6,38.6,17.5,22.0,7.0,14.9,71743,59.5,287600,1319,7,0
"Hutchins, Texas",Texas,5713,48.6,6.6,23.5,18.8,27.1,23.9,45250,50.0,95500,1370,8,4
"Hutto, Texas",Texas,32188,77.8,44.4,11.4,27.9,7.7,8.6,115149,79.4,315800,2202,0,3
"Idalou, Texas",Texas,2389,56.9,47.6,9.5,22.6,5.3,15.1,70655,68.3,175700,672,5,2
"Indian Hills, Texas",Texas,2779,40.7,7.4,45.0,15.9,25.5,6.2,27019,89.7,58000,1082,3,4
"Indian Lake, Texas",Texas,1340,52.0,17.8,35.0,15.1,15.8,16.3,32895,70.9,59400,1292,3,4
"Inez, Texas",Texas,2280,71.2,35.2,3.7,26.2,16.0,18.9,81760,82.0,175400,778,2,0
"Ingleside, Texas",Texas,9861,66.9,30.5,17.6,23.9,9.9,18.1,77650,64.9,179300,1229,8,4
"Ingleside on the Bay, Texas",Texas,763,45.9,44.3,16.2,15.2,13.5,10.8,88500,89.9,267500,1375,5,2
"Ingram, Texas",Texas,2092,66.2,25.4,24.6,12.1,26.4,11.5,49295,58.0,165400,984,1,4
"Iola, Texas",Texas,286,55.6,28.8,19.5,25.4,16.1,10.2,52917,72.1,170300,743,4,4
"Iowa Colony, Texas",Texas,11028,75.3,58.3,5.5,17.4,8.2,10.7,126167,97.9,356300,2188,0,3
"Iowa Park, Texas",Texas,6574,73.3,35.7,16.8,14.1,15.2,18.1,64340,85.5,121800,945,2,2
"Iraan, Texas",Texas,1415,48.9,15.4,14.5,11.0,21.6,37.4,42167,78.2,94100,965,9,0
"Iredell, Texas",Texas,398,55.6,24.1,24.7,14.7,22.9,13.5,43750,83.2,66200,950,1,4
"Irving, Texas",Texas,255036,72.1,40.7,13.9,19.3,11.1,15.0,79641,38.3,287300,1517,7,1
"Italy, Texas",Texas,2460,57.0,31.5,15.4,21.7,12.3,19.1,59082,68.9,148200,1304,8,0
"Itasca, Texas",Texas,2015,67.2,16.4,21.8,22.3,16.4,23.1,67500,72.4,105900,836,9,4
"Ivanhoe, Texas",Texas,1619,39.8,11.8,9.0,15.7,26.3,37.3,42917,81.5,85500,1106,9,0
"Jacinto City, Texas",Texas,9458,59.7,15.0,23.0,19.5,19.1,23.4,57703,67.6,121100,1167,9,4
"Jacksboro, Texas",Texas,4151,41.1,29.7,21.1,21.1,11.3,16.7,45625,63.1,141900,803,8,4
"Jacksonville, Texas",Texas,14186,60.9,30.9,20.3,16.6,8.5,23.6,50469,60.6,120800,864,8,4
"Jamaica Beach, Texas",Texas,991,59.6,52.9,8.7,22.6,13.0,2.8,88077,93.6,313600,1732,0,2
"Jarrell, Texas",Texas,2589,79.5,42.9,12.0,11.1,10.8,23.2,101653,86.9,311100,1860,2,3
"Jasper, Texas",Texas,7215,58.1,27.9,23.3,18.8,12.7,17.4,42407,56.2,130200,853,8,4
"Jayton, Texas",Texas,446,48.9,23.7,11.8,19.5,26.0,18.9,71494,82.8,103900,909,1,4
"Jefferson, Texas",Texas,2111,58.3,16.2,27.7,29.5,8.4,18.2,40865,52.0,143800,721,8,4
"Jersey Village, Texas",Texas,7817,65.4,51.6,6.6,29.5,4.8,7.5,93983,52.2,326700,1404,7,1
"Jewett, Texas",Texas,848,62.7,6.9,39.3,12.1,20.2,21.5,53056,61.5,117800,755,3,4
"Joaquin, Texas",Texas,688,53.4,12.4,25.4,27.5,11.0,23.7,34659,68.9,59200,750,4,4
"Johnson City, Texas",Texas,1952,58.5,41.6,19.1,24.7,5.6,9.0,47232,52.5,348500,1012,8,4
"Jones Creek, Texas",Texas,2096,53.6,22.0,16.3,26.1,25.4,10.1,69167,90.4,184900,1106,4,4
"Jonestown, Texas",Texas,2462,58.6,63.1,4.7,15.6,10.6,6.0,115489,88.8,475300,1702,0,3
"Josephine, Texas",Texas,4498,68.0,42.1,23.1,14.2,11.0,9.6,99063,95.1,267400,1367,2,0
"Joshua, Texas",Texas,8279,63.0,42.3,18.2,15.1,7.9,16.5,60466,58.0,271000,1286,8,4
"Jourdanton, Texas",Texas,4166,61.3,35.6,10.2,13.4,29.8,11.0,82302,75.9,159400,959,1,2
"Junction, Texas",Texas,2439,62.8,27.5,22.0,25.1,17.6,7.8,51667,68.9,146100,766,4,4
"Justin, Texas",Texas,5068,69.8,48.2,14.4,21.1,9.8,6.4,93887,81.8,364500,1475,0,0
"Karnes City, Texas",Texas,3101,46.8,19.2,31.3,18.3,17.8,13.4,58601,66.8,90400,669,3,4
"Katy, Texas",Texas,23900,66.0,43.1,14.7,22.9,11.0,8.2,107332,77.2,376800,1609,0,0
"Kaufman, Texas",Texas,8010,66.9,27.3,23.1,15.8,12.0,21.7,58269,44.8,195900,1319,8,4
"Keene, Texas",Texas,6574,62.2,28.9,22.9,19.2,8.6,20.3,50796,52.8,219900,950,8,4
"Keller, Texas",Texas,45598,66.3,57.5,8.9,21.5,3.8,8.3,172654,81.9,557700,1985,0,3
"Kemah, Texas",Texas,1952,72.6,39.8,18.1,21.6,5.4,15.0,95152,65.0,268900,1579,7,0
"Kemp, Texas",Texas,1389,57.1,34.0,22.6,11.2,17.9,14.3,69875,64.3,168300,1080,1,2
"Kempner, Texas",Texas,1242,67.8,34.5,12.5,26.1,13.1,13.8,76250,69.0,196900,1067,2,4
"Kendleton, Texas",Texas,291,50.8,20.5,57.4,8.2,0.8,13.1,41544,66.9,128400,1167,3,4
"Kenedy, Texas",Texas,3442,67.6,10.4,39.9,22.9,18.9,8.0,39688,46.6,134300,1041,3,4
"Kenefick, Texas",Texas,798,56.1,28.2,27.6,25.4,6.0,12.9,71667,87.1,156300,1553,2,4
"Kennard, Texas",Texas,411,54.1,15.7,21.4,7.9,20.0,35.0,83333,70.8,104700,1000,9,5
"Kennedale, Texas",Texas,8954,72.2,41.3,14.4,16.3,13.6,14.4,117853,75.0,356300,1215,2,0
"Kerens, Texas",Texas,1898,64.6,42.0,15.7,15.3,7.3,19.7,50313,52.2,126400,807,8,4
"Kermit, Texas",Texas,5681,65.0,14.7,11.3,21.3,20.2,32.4,90181,83.7,119300,907,9,0
"Kerrville, Texas",Texas,24532,53.8,35.2,22.6,24.9,7.9,9.4,59431,57.9,272700,1075,8,4
"Kilgore, Texas",Texas,13444,61.5,26.5,17.7,23.5,7.0,25.2,58141,69.1,154600,1082,9,9
"Killeen, Texas",Texas,156144,68.5,31.1,19.9,24.5,9.8,14.7,58339,48.6,196000,1147,8,4
"Kingsland, Texas",Texas,7246,52.4,27.5,24.5,26.9,9.0,12.0,55801,72.2,230200,984,4,4
"Kingsville, Texas",Texas,25061,62.5,31.2,21.7,21.5,13.5,12.1,55649,45.3,134600,1021,8,4
"Kirby, Texas",Texas,8100,62.2,27.4,23.2,19.1,11.8,18.6,58700,70.4,159000,1114,8,0
"Kirbyville, Texas",Texas,2027,55.8,19.8,31.8,18.0,14.9,15.4,34688,63.3,88800,585,3,4
"Kirvin, Texas",Texas,97,62.9,31.5,13.0,5.6,33.3,16.7,67000,52.5,110400,690,1,4
"Knox City, Texas",Texas,822,46.0,37.3,13.5,20.6,19.6,9.0,41477,75.5,59300,579,5,4
"Kosse, Texas",Texas,475,69.3,32.8,20.3,13.7,20.7,12.5,58750,85.1,122300,1071,1,4
"Kountze, Texas",Texas,1982,57.6,47.4,8.8,16.4,9.1,18.4,65568,70.7,130500,875,5,2
"Kress, Texas",Texas,559,57.8,22.7,32.4,12.1,22.3,10.5,46875,75.3,81000,738,3,4
"Krum, Texas",Texas,5896,68.5,37.6,11.1,33.4,7.5,10.3,111316,77.1,286300,1669,2,0
"Kurten, Texas",Texas,557,52.6,18.9,22.4,24.1,22.8,11.8,64500,86.3,178600,1300,4,4
"Kyle, Texas",Texas,52439,74.1,41.8,14.1,22.4,11.3,10.3,89645,68.1,302200,1661,7,1
"La Blanca, Texas",Texas,3479,44.8,15.3,23.2,18.9,19.5,23.1,50491,74.9,73800,998,9,4
"LaCoste, Texas",Texas,1497,58.6,18.5,24.3,36.5,9.1,11.7,73289,85.4,74600,1068,4,9
"Lacy-Lakeview, Texas",Texas,7247,66.7,23.6,19.5,21.7,12.9,22.3,51301,45.8,154300,865,8,4
"Ladonia, Texas",Texas,585,46.8,31.3,15.6,14.0,16.2,22.9,49451,65.6,65000,438,9,4
"La Feria, Texas",Texas,6821,57.1,25.4,39.2,13.0,11.1,11.2,42992,73.0,99100,1010,3,4
"Lago Vista, Texas",Texas,9341,55.1,57.2,13.5,16.5,8.8,3.9,110388,87.7,380200,1379,0,2
"La Grange, Texas",Texas,4448,61.0,27.3,13.8,17.6,4.4,37.0,57212,62.0,320000,698,9,4
"La Grulla, Texas",Texas,1447,52.7,25.7,20.9,12.0,13.3,28.3,36827,80.3,52700,803,9,4
"Laguna Park, Texas",Texas,1506,45.0,31.6,10.2,18.7,23.5,16.0,63214,79.5,187500,906,1,4
"La Homa, Texas",Texas,11389,60.2,16.9,30.5,14.9,16.7,21.0,41198,83.4,101400,746,3,4
"La Joya, Texas",Texas,4613,61.0,33.2,30.0,17.3,9.5,10.1,50652,52.6,109600,781,3,4
"Lake Bridgeport, Texas",Texas,347,63.3,35.1,16.5,22.2,13.4,12.9,71538,66.4,195800,1286,2,0
"Lake Brownwood, Texas",Texas,1754,63.3,13.5,21.3,17.0,27.5,20.7,60987,75.3,116900,1024,1,4
"Lake Cherokee, Texas",Texas,3358,58.5,33.5,12.1,30.2,10.0,14.2,91571,83.4,394900,919,2,0
"Lake City, Texas",Texas,575,56.2,22.3,26.1,18.5,16.0,17.2,60769,84.0,85800,936,1,4
"Lake Colorado City, Texas",Texas,1001,67.2,13.0,21.8,18.5,21.8,24.9,54286,84.2,53300,435,9,4
"Lake Dallas, Texas",Texas,7761,69.9,39.6,12.3,26.2,14.3,7.6,74241,71.3,245100,1507,2,0
"Lakehills, Texas",Texas,5872,61.0,33.2,17.5,29.8,12.7,6.9,85409,90.9,242000,876,4,0
"Lake Jackson, Texas",Texas,27902,67.3,43.0,13.8,17.4,12.8,13.0,89623,61.9,248900,1417,7,0
"Lake Medina Shores, Texas",Texas,1198,48.1,20.6,2.2,15.8,42.8,18.6,44926,66.6,158700,2051,1,6
"Lakeport, Texas",Texas,1250,62.7,22.7,16.6,16.3,14.7,29.7,63929,73.3,119900,1161,9,4
"Lakeside town (San Patricio County), Texas",Texas,337,50.8,32.5,13.9,27.2,8.6,17.9,47917,89.5,139700,1705,4,0
"Lakeside town (Tarrant County), Texas",Texas,1495,63.3,40.1,15.2,24.7,8.4,11.6,108214,92.0,320200,1609,2,0
"Lakeside City, Texas",Texas,1150,60.3,43.7,16.6,21.7,7.9,10.2,104563,90.0,240500,2059,0,0
"Lakeway, Texas",Texas,19130,56.1,66.6,5.1,24.1,2.0,2.2,164978,85.7,695400,3123,6,7
"Lake Worth, Texas",Texas,4667,63.5,19.6,16.8,27.1,12.4,24.1,83869,71.1,210700,1342,4,9
"La Marque, Texas",Texas,18833,64.0,38.9,18.6,20.1,9.1,13.4,70632,71.1,189400,1375,2,0
"Lamesa, Texas",Texas,8527,63.6,30.8,19.1,16.0,20.6,13.5,50533,68.0,85800,903,1,2
"Lampasas, Texas",Texas,7506,56.1,29.8,26.2,18.0,13.9,12.1,63173,66.6,197000,867,3,4
"Lancaster, Texas",Texas,40753,66.7,38.8,10.6,19.1,9.9,21.7,67584,65.7,229900,1627,2,0
"Lantana, Texas",Texas,12583,61.1,64.7,7.3,21.2,0.3,6.5,200147,93.2,542200,3410,6,7
"La Paloma, Texas",Texas,2836,66.6,29.5,20.3,10.9,25.7,13.6,60333,81.1,79500,847,1,2
"La Porte, Texas",Texas,36077,65.3,37.7,12.3,22.0,12.3,15.8,81801,72.1,217100,1327,2,0
"La Pryor, Texas",Texas,1130,59.4,22.9,11.8,20.7,12.6,32.1,41776,73.7,90900,2056,9,0
"Laredo, Texas",Texas,255949,62.5,27.2,22.2,24.1,9.9,16.6,63264,63.3,182400,1001,8,4
"Las Lomas, Texas",Texas,1836,61.1,8.8,36.5,7.3,39.1,8.4,33796,80.4,88200,639,3,4
"Laureles, Texas",Texas,3505,45.7,14.1,20.4,23.1,24.0,18.4,45640,87.8,140800,794,4,4
"La Vernia, Texas",Texas,1126,58.0,30.8,24.7,15.1,10.7,18.7,65417,56.5,240000,940,8,4
"La Villa, Texas",Texas,2931,34.7,27.8,15.9,21.7,16.8,17.7,50917,82.5,115700,981,4,4
"Lavon, Texas",Texas,5624,77.9,49.7,15.7,22.2,7.6,4.7,132778,86.4,386600,1780,0,0
"La Ward, Texas",Texas,241,60.1,6.9,23.0,1.1,18.4,50.6,60667,75.8,53000,867,9,5
"Lawn, Texas",Texas,347,57.6,10.2,23.5,28.3,28.9,9.0,49375,84.5,57500,950,4,4
"League City, Texas",Texas,114885,69.4,54.9,11.4,19.1,5.5,9.1,119870,74.4,334000,1628,0,3
"Leander, Texas",Texas,67880,76.4,57.0,11.8,19.6,5.3,6.3,140180,75.6,470700,1865,0,3
"Leary, Texas",Texas,564,58.5,17.5,21.5,24.7,29.5,6.9,53750,75.1,164800,875,1,4
"Lefors, Texas",Texas,443,51.2,23.1,18.9,26.6,8.4,23.1,61250,80.5,32700,970,4,0
"Leonard, Texas",Texas,2468,55.0,25.5,25.8,15.0,23.4,10.3,54921,65.9,156100,1031,3,4
"Leon Valley, Texas",Texas,11479,60.5,39.7,17.6,19.8,14.7,8.2,57695,53.4,236600,1182,8,4
"Leroy, Texas",Texas,406,64.3,29.3,15.8,18.9,14.0,22.1,77750,86.2,193800,711,2,0
"Levelland, Texas",Texas,12565,60.4,33.6,18.8,17.4,15.7,14.6,51847,69.5,126200,789,8,2
"Lewisville, Texas",Texas,128313,75.6,43.9,14.3,22.9,7.3,11.6,85002,46.6,350200,1572,7,1
"Lexington, Texas",Texas,1493,64.9,31.2,24.2,18.5,15.3,10.7,59821,51.7,186100,1071,8,4
"Liberty, Texas",Texas,8491,50.2,32.7,16.2,20.2,19.1,11.9,52341,68.7,127200,1097,5,4
"Liberty City, Texas",Texas,2826,61.7,32.9,22.9,19.5,7.7,17.0,82800,79.8,202800,1286,2,4
"Liberty Hill, Texas",Texas,6706,73.1,32.9,17.8,14.3,14.7,20.2,111000,61.8,350500,1491,7,0
"Lindale, Texas",Texas,6389,57.8,33.6,15.6,26.9,13.6,10.3,81603,77.3,235000,1212,2,4
"Linden, Texas",Texas,1742,50.9,29.9,21.8,17.6,10.0,20.6,47542,58.7,128700,642,8,4
"Lindsay, Texas",Texas,1161,60.8,57.5,7.3,10.0,9.1,16.1,115208,87.1,333800,1176,0,3
"Lipan, Texas",Texas,446,61.1,43.6,11.3,23.6,11.8,9.7,69063,89.2,173100,1175,2,0
"Little Cypress, Texas",Texas,1968,57.5,46.2,14.9,12.7,4.3,21.8,87839,85.1,176000,1042,5,2
"Little Elm, Texas",Texas,51426,74.5,52.0,12.1,19.4,6.4,10.1,116036,68.3,390300,1900,0,1
"Littlefield, Texas",Texas,5886,67.5,28.1,18.1,16.8,17.4,19.7,56312,67.5,75400,1022,8,4
"Little River-Academy, Texas",Texas,2044,70.7,27.5,15.5,30.4,17.2,9.4,73750,81.7,162800,1274,2,0
"Live Oak, Texas",Texas,15875,70.4,41.2,11.8,26.8,4.6,15.5,78092,56.4,227800,1450,7,0
"Liverpool, Texas",Texas,445,55.6,18.6,23.5,17.2,21.6,19.1,58958,82.4,161400,725,1,4
"Livingston, Texas",Texas,5728,62.3,24.2,20.3,15.7,12.3,27.5,52385,53.4,158100,1098,8,4
"Llano, Texas",Texas,3411,62.1,37.1,20.4,15.9,14.8,11.7,47183,57.3,207200,960,8,4
"Llano Grande, Texas",Texas,2195,44.9,37.8,14.5,26.7,12.7,8.2,34818,86.3,73900,572,4,4
"Lockhart, Texas",Texas,14708,57.0,31.6,17.6,25.3,13.2,12.2,67252,63.2,218400,1161,8,0
"Lockney, Texas",Texas,1602,56.7,22.2,20.9,25.4,9.5,22.0,58333,84.9,88400,738,4,0
"Lometa, Texas",Texas,787,56.6,28.2,9.5,12.1,21.0,29.1,53333,59.7,118300,663,9,4
"Lone Oak, Texas",Texas,541,64.1,30.2,21.4,31.7,4.6,12.2,65972,77.9,144100,1017,4,0
"Lone Star, Texas",Texas,1924,53.1,20.5,15.5,25.7,8.0,30.3,47059,55.7,136100,906,9,9
"Longview, Texas",Texas,82765,61.6,33.5,16.7,23.3,9.0,17.6,62488,53.4,182700,1061,8,4
"Lopezville, Texas",Texas,2026,45.1,10.3,8.5,8.6,20.7,52.0,38293,78.5,73600,870,9,5
"Loraine, Texas",Texas,702,56.9,27.2,29.0,6.9,17.4,19.6,34605,64.9,57800,367,3,4
"Lorena, Texas",Texas,1506,65.2,43.3,11.3,25.5,5.5,14.3,87337,77.1,263600,1352,2,0
"Lorenzo, Texas",Texas,843,56.0,22.8,20.3,14.6,14.6,27.6,42885,79.5,89100,625,9,4
"Los Fresnos, Texas",Texas,8174,55.0,32.2,23.7,27.5,6.8,9.8,64048,60.8,123300,876,8,4
"Los Indios, Texas",Texas,962,61.1,14.2,29.4,17.7,9.3,29.4,40000,86.9,55000,775,9,4
"Lott, Texas",Texas,620,53.9,18.7,7.1,33.6,24.0,16.6,50000,59.5,74100,737,4,9
"Lovelady, Texas",Texas,424,49.4,24.1,28.9,21.1,13.3,12.7,42500,77.5,153400,1026,3,4
"Lowry Crossing, Texas",Texas,1842,64.9,44.2,10.4,21.4,13.0,11.0,110357,98.8,371400,1167,2,0
"Lubbock, Texas",Texas,261078,66.0,41.1,17.8,21.5,8.2,11.4,60487,50.8,197900,1137,7,4
"Lucas, Texas",Texas,8040,72.8,59.0,12.4,16.9,7.3,4.4,178403,89.9,861500,1764,6,3
"Lufkin, Texas",Texas,34158,61.2,32.3,20.2,18.2,10.8,18.5,56722,52.0,162600,1043,8,4
"Luling, Texas",Texas,5486,57.4,31.3,28.6,14.6,9.5,16.1,55733,67.3,212500,1038,3,4
"Lumberton, Texas",Texas,13803,59.6,43.1,14.5,20.1,8.8,13.4,104551,87.1,271500,982,2,0
"Lyford, Texas",Texas,2153,52.4,18.6,29.9,28.5,11.8,11.3,44464,72.3,58300,974,4,4
"Lytle, Texas",Texas,2484,52.6,36.4,12.8,31.7,5.6,13.5,61678,77.1,145400,1055,4,0
"Mabank, Texas",Texas,4481,70.9,38.5,17.4,16.1,7.3,20.7,61011,39.9,253900,901,8,4
"McAllen, Texas",Texas,143789,61.8,38.5,20.1,24.0,7.6,9.8,60165,59.0,173800,1017,8,4
"McDade, Texas",Texas,1380,53.4,16.5,9.5,32.1,26.7,15.2,50329,94.4,299600,1096,4,4
"Macdona, Texas",Texas,449,36.7,32.2,0.0,22.9,20.3,24.6,54279,63.3,155900,1111,5,2
"McGregor, Texas",Texas,5608,65.0,22.6,16.1,24.0,14.1,23.2,60889,63.8,146000,1059,8,9
"McKinney, Texas",Texas,202314,71.4,54.8,12.4,20.3,4.7,7.8,120273,63.3,439500,1841,0,1
"McLean, Texas",Texas,855,55.9,12.4,15.8,11.6,45.2,15.0,44934,71.8,72500,864,1,6
"Madisonville, Texas",Texas,4510,65.1,19.1,31.6,20.3,9.5,19.4,55634,60.1,109500,801,3,4
"Magnolia, Texas",Texas,3230,67.9,37.0,9.9,22.4,13.6,17.1,70516,52.3,285200,1172,8,0
"Malakoff, Texas",Texas,2227,63.5,30.6,31.1,9.0,13.8,15.4,53378,55.7,84000,820,3,4
"Malone, Texas",Texas,287,32.6,6.7,16.7,21.7,36.7,18.3,26250,78.4,104000,925,1,4
"Manchaca, Texas",Texas,2002,75.4,52.1,11.4,22.2,10.6,3.8,160536,80.5,541800,2579,0,3
"Manor, Texas",Texas,16917,78.6,44.6,11.7,18.5,10.7,14.5,86477,78.4,333800,1446,2,0
"Mansfield, Texas",Texas,75398,72.2,48.7,13.9,21.3,5.3,10.7,116590,72.4,380000,1798,0,0
"Manvel, Texas",Texas,12873,65.3,48.4,13.2,24.4,6.9,7.1,113938,77.7,321600,2270,0,3
"Marble Falls, Texas",Texas,7255,64.4,35.7,20.9,15.4,13.6,14.4,55511,40.9,294900,1377,8,4
"Marfa, Texas",Texas,2179,62.7,45.7,4.7,10.9,32.3,6.4,38205,77.3,217600,395,1,6
"Marion, Texas",Texas,1088,63.8,26.7,18.5,23.8,14.8,16.2,63214,67.7,148900,1210,8,4
"Marlin, Texas",Texas,5500,52.9,27.6,14.9,32.1,12.4,13.0,38000,72.9,49800,739,4,9
"Marshall, Texas",Texas,23646,60.0,25.0,21.0,18.2,12.1,23.6,49817,60.0,133000,929,8,4
"Mart, Texas",Texas,2025,55.3,31.1,26.1,14.9,8.1,19.8,57813,63.3,115800,895,3,4
"Martindale, Texas",Texas,1090,67.0,29.3,15.0,35.0,8.4,12.3,79250,76.3,289000,964,4,0
"Mason, Texas",Texas,1993,54.7,44.6,12.4,23.7,10.8,8.5,54226,67.8,154900,751,5,0
"Matador, Texas",Texas,727,59.8,23.1,8.9,35.7,19.3,13.0,73417,80.1,86300,580,4,9
"Mathis, Texas",Texas,4322,43.4,16.2,41.8,15.5,10.1,16.4,31090,63.6,74600,570,3,4
"Maud, Texas",Texas,1152,58.1,36.0,12.1,28.0,5.2,18.7,57667,60.2,96800,818,8,4
"Mauriceville, Texas",Texas,2981,59.6,32.5,12.8,15.4,13.2,26.1,69306,67.5,176700,1016,9,4
"Maypearl, Texas",Texas,1328,83.0,45.6,8.4,6.9,11.5,27.5,74583,45.6,316000,1398,7,0
"Meadow, Texas",Texas,834,65.6,22.2,6.4,33.9,17.5,20.0,60000,68.8,64000,718,4,0
"Meadowlakes, Texas",Texas,2113,48.8,54.2,9.7,28.9,4.1,3.1,79635,86.5,364300,1520,0,2
"Meadows Place, Texas",Texas,4689,67.2,55.9,9.8,21.0,6.4,6.7,92736,75.8,256000,1324,0,0
"Medina, Texas",Texas,4073,60.1,19.4,26.3,10.2,31.0,13.1,21966,81.6,51600,574,1,4
"Melissa, Texas",Texas,17497,71.5,56.4,9.2,22.3,5.8,6.4,137875,88.3,430300,2341,0,3
"Memphis, Texas",Texas,2231,52.2,28.0,24.2,13.7,18.6,15.5,46567,74.6,74700,608,1,4
"Menard, Texas",Texas,1078,53.5,17.1,16.5,28.1,17.7,20.6,43179,71.8,69800,688,4,4
"Mercedes, Texas",Texas,16449,55.1,22.2,25.7,28.1,12.1,11.9,41753,64.4,107700,676,4,4
"Meridian, Texas",Texas,1546,55.7,34.9,13.1,25.6,17.5,8.8,61607,58.8,112100,736,8,0
"Merkel, Texas",Texas,2630,61.0,33.8,23.3,23.3,12.5,7.1,62368,77.4,99000,992,4,4
"Mertens, Texas",Texas,130,62.8,19.3,49.1,21.1,7.0,3.5,43365,51.1,91400,631,3,4
"Mertzon, Texas",Texas,819,65.0,16.2,22.9,25.5,11.3,24.0,60956,88.7,121700,861,4,0
"Mesquite, Texas",Texas,148848,69.9,27.0,17.9,23.3,14.3,17.5,71843,63.3,226500,1407,8,0
"Mexia, Texas",Texas,6867,49.6,23.1,33.3,14.9,15.5,13.1,36589,57.9,92900,786,3,4
"Miami, Texas",Texas,469,73.7,28.0,12.5,30.6,8.6,20.3,64583,89.6,108500,756,4,0
"Midland, Texas",Texas,133998,70.1,41.0,12.7,21.9,12.8,11.6,91169,65.1,298600,1407,7,0
"Midlothian, Texas",Texas,37256,73.4,47.2,11.5,20.7,6.7,13.9,122643,79.3,369400,1867,0,0
"Midway, Texas",Texas,234,57.4,22.5,22.5,9.0,24.3,21.6,57500,73.6,99100,1150,1,4
"Midway North, Texas",Texas,3514,64.2,15.7,29.3,12.9,19.8,22.2,55851,89.1,126200,1044,1,4
"Midway South, Texas",Texas,2858,68.7,24.6,27.4,19.7,19.8,8.5,76768,83.1,107700,1026,1,4
"Mila Doce, Texas",Texas,8298,62.0,21.6,26.5,19.8,20.0,12.0,46544,76.7,72600,625,3,4
"Milano, Texas",Texas,555,76.0,16.6,4.6,7.7,30.1,41.0,65357,83.7,80300,497,9,0
"Miles, Texas",Texas,1170,72.2,20.4,18.9,19.9,24.2,16.6,77917,73.7,170600,842,1,4
